關鍵字,回應
Slack BnB,"位於屏東小琉球\n
取名源自於走繩運動(Slacklining)\n
也有放鬆、耍廢的意思\n
台灣第一間以走繩為主題的背包客棧\n
走繩是一款老少咸宜又可以鍛鍊核心的運動\n
老闆希望客人們來小島旅遊放鬆之餘\n
可以體驗不一樣的戶外活動\n
Slack BnB 期望大家來玩可以認識新朋友\n
互相交換旅遊的故事\n
所以除了戶外露營風的走繩空間外\n
室內還有挑高的交誼廳\n
很容易一躺就起不來的二樓平台區\n
超讚投影機及超大投影牆\n
適合喜歡旅行、喜歡交朋友的你\n"
琉Chill背包客棧,是一間位於小琉球的獨特背包客棧，理念是提供舒適、輕鬆和療癒的住宿，因此取名為琉CHill背包客棧。\n
居琉潛水背包客棧二館,"民宿老闆25歲時在馬爾地夫教潛水。\n
潛水教練，表面上看似光鮮亮麗、充滿自由的夢想職業，其是在用自己的「青春」在海下奮鬥。\n
合約結束後，還要繼續去其他海島國家教潛水嗎？如果有一天再也無法繼續教潛水，怎麼辦？\n
每天獨自坐在海邊反覆問自己這些問題，必須得找到另外一個自己熱愛的工作。\n
回國後，老闆跑遍了台灣的每個離島，墾丁、澎湖、綠島、蘭嶼，最後來到了小琉球。\n
小琉球是一個交通便利，而且冬天唯一不受東北季風影響的小島。\n
當時心中湧出一個想法\n
如果選擇「定居」在小琉球，\n
如果開的店可以持續「留住」房客，\n
那應該會是間很「溫暖」的店吧？\n
定居在琉球，那不如就叫「居琉」吧。"
小島，走走,位於小琉球，相較於其他民宿業者，都是用既有的房子改建而成，小島走走是唯一工業風格的民宿。新穎的裝潢、高檔的設備、自由的空間、便利的環境，來到小琉球走走，提供給你最好的選擇。
黑背包,位於小琉球島上的中心點，騎車到大街購物飲食或陸遊景點都非常方便。是由一間老宅改造而成的背包客棧，簡單舒適風格，因此取名為黑背包。
嶼海生活背包宿,"緣起於我們對大海的感情，在這片島嶼的山海之間找到生活的理由，是我們生活的地方更是我們的家，一群因海而相遇的人，希望透過這片海認識你。\n
傳達真正民宿概念，與你分享海洋日常，透過海而認識彼此，嶼海期待與您相遇，因此取名為嶼海生活背包宿"
LQ膠囊輕旅-LIUQIU,"來一趟愉快的輕旅行吧，體驗不同於背包客棧的感覺\n
距離蛤板灣沙灘 1.3 公里。LQ Capsule Hostel 距離秘密海灘（Secret Beach） 1.8 公里。"
小琉球野原星之宿,距離美人海灘 1.2 公里。Ye Yuan Star Homestay 距離中澳海灘（Zhongao Beach） 2 公里。距離蛤板灣沙灘 2.3 公里。
小琉球獵戶座背包寨,距離美人海灘 1.5 公里。距離蛤板灣沙灘 2.1 公里。這間住宿距離中澳海灘（Zhongao Beach） 2.2 公里。
InnOcean 在海裡潛水旅宿,"Innocean or In ocean。不是在海裡，就是前往海裡的路上，因此取名為InnOcean 在海裡 潛水旅宿。\n
距離美人海灘 1.6 公里。距離中澳海灘（Zhongao Beach） 2 公里。距離蛤板灣沙灘 2.2 公里。"
上福民宿 ,"一個女孩誤打誤撞的闖入經營民宿這個世界，堅持爲所有旅客安排最好的服務與客製化行程。\n
距離中澳海灘（Zhongao Beach） 2.3 公里。"
自由空間旅宿 ,距離中澳海灘（Zhongao Beach） 1.4 公里。距離美人海灘 1.9 公里，距離蛤板灣沙灘 2.9 公里。
小琉球純 住宿True Hostel Xiao liuqiu,純住宿是屬於旅人的住宿共享空間。小巧精美的青年旅館，可以容納10位旅人，海鹽綠女子背包房/混宿六人背包房。歡迎你跟我們說說、聽聽、寫寫關於琉球小島的故事。
Lixia Hostel 立夏旅宿,"立夏位於小琉球市中心，整棟建築以東印度風為設計風格，一樓預計作為咖啡廳，二樓為精品背包客房，三樓為獨立套房區。\n
立夏如其名般溫暖清新，希望入住的旅客不管在哪一個季節蒞臨小島，都能感受到夏天的浪漫與美好。"
小琉球船屋特色民宿,小琉球船屋民宿在2016年的夏天它開始停泊在小琉球，小琉球船屋民宿特別的船頭造型是為了突顯小琉球漁村風情，特意以下錨象徵著已新建於在這個海上樂園-小琉球，小琉球船屋民宿就等您來體驗唷。\n
小琉球星月旅店,"以金黃月光為主題，星雲為想像空間，彷彿置身於銀光星河之間 空間不再以直線直角切分 讓律動感存活於空間中 賦予建築新生命...。
馬賽克拼貼出宇宙無垠的月球星空 嬌豔美人魚同游清涼池水中 落地長條窗與彩雕玻璃窗引入南國陽光 大膽玩弄色彩 挑動你的視覺，海島旅行融合西班牙的熱情活力與慵懶自在，享受一場奇幻美麗冒險之旅。"
小琉球嗚啦啦聚所 oh la la Hostel,鄰近北岸的小琉球嗚啦啦聚所前往花瓶石、美人洞及白沙尾漁港等景點十分方便，四周無屋不受干擾，左右植被叢生，有種遺世獨立的感覺。門口擺放簡單的小桌，在戶外有個能吹風休憩的空間。背包客房是質樸乾淨的上下舖床位，如果是和其他朋友結伴而行，四到八人房也是很適合的選擇。
燕燕青年旅店 Swallows Hostel,距離中澳海灘（Zhongao Beach） 400 公尺。距離美人海灘 2.7 公里。
旅.Highway,"旅Highway鄰近西岸杉福漁港、小琉球杉福潮間帶等景點，頂樓開放式的大陽台有大張的長桌和椅子，吃喝聊天非常方便，走路就能抵達海灘的距離，讓你也能直接從陽台望向遼闊的海面。\n
老闆接觸自潛兩年多，一直期待著能打造一間有溫度的背包旅店，還有著可以欣賞星空夕陽及海景的一個瞭望台，與遠方背包客大聲歡笑、暢談自潛生活，這間青旅就此誕生。由此可知這會是一個多麼非常親切的地方了吧。"
萊克民宿-小琉球民宿 包棟,距離中澳海灘（Zhongao Beach） 2 公里。距離蛤板灣沙灘 2.2 公里。
墨坊 - 海廢基地Morefun,此店家無提供相關資訊
琉意旅宿,"旅行,不一定要獲的什麼，單純為了跳脫一成不變的生活，那就是一種意義，所以命名為琉意旅宿"
小琉球彼空映旅宿,"民宿的名字很不一樣，有些拗口，十分鍾情於燈塔的老闆娘解釋，「彼空映」其實是beacon Inn的音譯，beacon在英文意義當中，有指引之意，但中文名稱卻一直都定不下來，她和設計師分享，「原本想把民宿做成燈塔造型，但礙於成本只好放棄。如此喜歡燈塔，或許是內心總覺得冥冥之中受到父親指引吧。」於是，設計師告訴她，你的父親在「彼」方的天「空」庇「蔭」著你。(彼空蔭)」這句話讓她淚流不止，後來她礙於傳統觀點改了一個字，定名為「彼空映」。\n

Beacon有燈塔、指路明燈、指引、像燈塔般照耀的意思。 取名Beacon是期許自己能夠延續爸爸的精神，也希望爸爸能像燈塔般指引著我，鼓勵著我，讓我能夠更有力量面對一切。 中文名字彼空映的意涵為，爸爸在彼端的天空庇佑映照著我們。我們希望做到關心生態與環境、對動物友善、並且在這美麗的小島上，努力做到愛護生態、並將這小島寧靜的美與更多人分享，希望來到這小島的旅人能夠放慢腳步，細細品味遠離塵囂的寧靜之美。"
濱境行旅 Begin Inn,房間以貨櫃屋的形式呈現，邂逅大自然千變萬化的美麗，同時遇見小琉球獨一無二的職人光景。靜下心來，用一次珍貴假期，在南方島嶼上，感受一生難忘的悸動，療癒一顆疲憊已久的心。真誠體驗與海洋作伴、星辰為伍，將晨曦、落日與星空盡收眼底的入住經驗。
小琉球皮亞諾旅店,"全館以鋼琴風格為主題，用鋼琴的英文piano，皮亞諾。\n
一進入大廳位於左側，置放一台三角鋼琴及數支小提琴的擺放設計藝術氣息便隨之而來。細細品味樂曲在五線譜優美起舞的旋律觸及心靈的悸動深刻而感人，讓您彷彿置身於音樂饗宴中而每間房各有音樂相關不同裝潢設計點出音樂結合海景的藝術二重奏，享受一場深刻迷人、無與倫比的藝術之旅。"
正好友生態環保旅店,"『正』→ 取自民宿主人名。\n
『好』→ 成語「好天良夜」。\n
『友』→ 子曰益者三友「友直、友諒、友多聞」。\n
好日子住好地方、睡好覺、認識好友\n
到這裡來住宿，都是我們的好朋友。\n
有意識地選擇、有意思的民宿、有責任的旅行。"
快樂小屋,2017年全新開幕，獨棟小木屋，環境清靜幽美，距離杉福漁港潮間帶非常近，一分鐘就可到達，去碼頭也只要五分鐘，機能便利性高。
屏東小琉球海之旅民宿,"慢悠的旅程，海上悠晃的浪漫地，讓旅客享受在旅程中的漫步雲端，沒有吵雜只有快樂與歡笑，選擇海之旅民宿，讓人在海上旅行一樣，旅人不在孤單而有大家，以家溫暖的樣子，讓人來到這裡都有同感。\n
海之旅小琉球民宿位在龍蝦洞附近，由於面對大海，在早晨可享受小琉球晨曦之美、在晚間可聽到都市所沒有的夜間蟲鳴與海浪聲及一大片的燦爛星空，雖然海之旅沒有富麗堂皇的裝潢，但絕對能給您一個乾淨、舒適又平價的房間。"
小琉球琉漾民宿,"琉漾民宿從背包客的一人床位到家庭旅遊的六人房型皆有提供，一個人一晚最低只需五百元即可入住，十分划算。民宿提供包棟服務，民宿外的大空間可以提供烤肉場地，以及團康活動聚點，適合十多人包棟入住。\n
民宿為老宅整修，從平房式外觀到房間內部懷舊的檜木古董床，都能感受濃濃的台灣懷舊感性。民宿位置離玩水地點很近，適合喜歡水上活動的旅人。"
琉客棧民宿,希望客人的到來都會有一份良好的心情，所以老闆以不同的心情來為所有琉客棧房間命名。
Xpb民宿,設有共用休息室、露台、休息區和免費WiFi，還有提供租車服務。距離秘密海灘（Secret Beach） 200 公尺。距離蛤板灣沙灘 2.9 公里。
小琉球朵小路北歐民宿(Secret Path B&B),"「朵小路」是一間民宿，也是一種生活態度
老闆認為，有時候，我們只是想安靜躲起來\n
躲在海邊，躲到小路上\n
讓一切沉澱，讓自己喘氣\n
收拾起你的行囊，去小琉球吧。\n
在「朵小路北歐民宿」，你可以放慢呼吸，讀一本書，喝一杯咖啡，到海邊，聽聽海浪唱歌。"
樓仔厝,老闆認為這間房子屬於老房子，也是以前的老樓房，所以就將它命名為樓仔厝。時間久了就會發現了它的美麗。
晴空宿,"位於小琉球中心點，鄰近多處知名觀光景點，整體走簡約時尚路線，民宿主人希望來小琉球的旅客都能玩得盡興，留下難忘的回憶，所以以自己回家鄉渡假的心情，打造了這晴空宿。\n

民宿主人簡單的規劃了三個層樓，共三個房間，為的就是留給旅客一個不受干擾的住宿環境，希望旅客來到這裡能夠不受拘束的盡情享受小琉球的美好，每間房間都走簡約路線，卻不失設計感，窗明几淨、空間寬敞，就算是舉家出遊，也不壅擠，一間房內15坪大小的空間，提供最頂級的衛浴設備與寢具，讓您對晴空宿留下一個美好的印象唷。"
空中花園聖誕屋,此店家無提供相關資訊
微浮包棟民宿,2021全新落成的微浮民宿，擁有四間現代風裝潢的舒適客房。
36潛旅店,"阿貴潛水經營多年以來，我們不斷地提升、進步，為了帶給來自各個城市的潛客有個舒適、方便休憩的環境。『36潛旅店』於2021年1月正式開幕，是一間潛水結合民宿，打造獨一無二的潛水工業風格旅店。\n
那阿貴舊館位於在漁福村排仔港旁邊，住宿裡面有2間雙人房、4間四人房有一個公共的客廳，房間屬於乾淨舒適溫馨，可以讓出來遊玩到的客人有種回到家的感覺如此輕鬆。"
玩BOX Show琉球民宿,由貨櫃屋打造而成的可愛民宿，繽紛色彩及幾何條線。
小琉球【我們這一家輕旅宿】,2021年全新開幕，可愛小木屋風格，每間坪數給您舒適大空間。也提供獨棟小木屋包棟選擇，三個房間可容納6-8位遊客包棟。
七武海旅宿,小琉球四面環海，隨處可見以海洋及綠蠵龜相關住宿設計，為了獨樹一格，跳脫風格，於是靈機一動，並以房間數量為聯想十二星座，便成為了此設計理念。老闆秉持著有朋自遠方來的理念，期許能為旅客們提供一個舒適既溫馨的住宿環境，讓前來小琉球遊玩的旅客，享受旅遊的樂趣，如同在家的舒適感與自由。也希望能讓您的旅途充滿美好的回憶，並添加您對七武海旅宿的好印象。
